,F_value,pvalue,value_counts,subsystem,name,alleles_sim,genes,reaction
PPCOAC,6.20356877625758,0.024959766947158925,"[(0.9944951214003698, 6), (0.9879237537889212, 5), (0.9997302317442675, 1), (0.999730231744288, 1), (0.999730231744265, 1), (0.9997302317442653, 1), (0.9997302317442669, 1), (0.9997302317442677, 1)]",Propanoate metabolism,Propionyl-CoA carboxylase,['Rv3280'],"['Rv3281', 'Rv3280', 'Rv3285']",atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c
PMANM,6.149228288094679,0.025503466774815197,"[(0.10936224460601807, 1), (0.06663173437118519, 1), (0.109325110912323, 1), (0.055992841720580944, 1), (0.10932499170303345, 1), (0.1187555193901062, 1), (0.0476968288421632, 1), (0.11842048168182373, 1), (0.11838746070861816, 1), (0.11838817596435547, 1), (0.10820639133453369, 1), (0.1082005500793457, 1), (0.14725643396377563, 1), (0.1093246340751648, 1), (0.10932505130767822, 1), (0.10932493209838867, 1), (0.10601580142974854, 1)]",Fructose and mannose metabolism,phosphomannomutase,,"['Rv3308', 'Rv3257c']",man1p_c <=> man6p_c
ACChex,5.963959689159289,0.027462953644540555,"[(0.3619447946548462, 2), (0.3267735242843628, 1), (0.8687630891799927, 1), (0.36195266246795654, 1), (0.9766736030578613, 1), (0.3391910791397095, 1), (1.0, 1), (0.33661043643951416, 1), (0.3365129232406616, 1), (0.336462140083313, 1), (0.3055598735809326, 1), (0.3093907833099365, 1), (0.25514042377471924, 1), (0.3829464912414551, 1), (0.1943356990814209, 1), (0.3443180322647095, 1)]",Fatty Acid Metabolism,ACChex,['Rv3280'],['Rv3280'],coa_c + 2.0 h_c + hexc_c --> h2o_c + hexccoa_c
LIPY,5.945555800258982,0.0276669512909331,"[(0.2650460565938465, 10), (1.0, 2), (0.17592934798075488, 2), (0.8766628416564516, 1), (0.3178045374240086, 1), (0.0, 1)]",Lipid metabolism,LIPY,,['Rv3097c'],10.0 h2o_c + 9.0 tag_TB_c --> 9.0 12dgr_TB_c + arach_c + 2.0 hdca_c + 2.0 hexc_c + 4.0 ocdca_c
TAG,5.945555800258979,0.02766695129093314,"[(0.2650460565938466, 10), (1.0, 2), (0.175929347980755, 2), (0.8766628416564517, 1), (0.3178045374240087, 1), (0.0, 1)]",Fatty acid biosynthesis,MNXR87026,,"['Rv3233c', 'Rv3480c', 'Rv3371', 'Rv0221', 'Rv3234c', 'Rv3734c', 'Rv3130c', 'Rv2484c', 'Rv1760', 'Rv0895', 'Rv3088', 'Rv2285', 'Rv1425', 'Rv3740c', 'Rv3087']",10.0 12dgr_TB_c + arachcoa_c + hexccoa_c + nodcoa_c + pentdcoa_c + 2.0 pmtcoa_c + 3.0 stcoa_c --> 10.0 coa_c + 10.0 tag_TB_c
MECDPDH,5.49536764291147,0.033249557299259186,"[(0.904424250125885, 1), (0.9758902192115784, 1), (0.9208437204360962, 1), (0.9893437027931213, 1), (0.9208406209945679, 1), (0.9230467677116394, 1), (1.0, 1), (0.9091606736183167, 1), (0.9092227220535278, 1), (0.9091979265213013, 1), (0.92071932554245, 1), (0.922663152217865, 1), (0.8721228241920471, 1), (0.9254166483879089, 1), (0.9208405017852783, 1), (0.9208405613899231, 1), (0.9208734035491943, 1)]",Polyprenyl Metabolism,MECDPDH,,[],2mecdp_c + h_c --> h2mb4p_c + h2o_c
FADE233,5.291474355041621,0.03620186535033741,"[(8.001599383078428e-12, 2), (0.9999999999981317, 1), (0.9999999999980895, 1), (1.8469226148454254e-11, 1), (0.10344232609663162, 1), (6.427636201067344e-12, 1), (1.924660431029679e-11, 1), (7.002176616310862e-12, 1), (6.561973187046988e-12, 1), (7.263412094005162e-12, 1), (5.972777827878417e-12, 1), (6.906031302378324e-12, 1), (3.2231994850917545e-12, 1), (7.656431044722467e-12, 1), (9.998557537471697e-12, 1), (0.9999999999981323, 1)]",Lipid metabolism,R02661,,['Rv3140'],fad_c + ibcoa_c --> 2mp2coa_c + fadh2_c
BKDC,5.291474355041621,0.03620186535033741,"[(8.001599383078428e-12, 2), (0.9999999999981317, 1), (0.9999999999980895, 1), (1.8469226148454254e-11, 1), (0.10344232609663162, 1), (6.427636201067344e-12, 1), (1.924660431029679e-11, 1), (7.002176616310862e-12, 1), (6.561973187046988e-12, 1), (7.263412094005162e-12, 1), (5.972777827878417e-12, 1), (6.906031302378324e-12, 1), (3.2231994850917545e-12, 1), (7.656431044722467e-12, 1), (9.998557537471697e-12, 1), (0.9999999999981323, 1)]",Lipid metabolism,BKDC,,['Rv2495c'],2mpdhl_c + coa_c + h_c <=> dhlam_c + ibcoa_c
3HIBD,5.291474355041617,0.036201865350337495,"[(0.9999999999981317, 1), (0.9999999999980895, 1), (8.001377338473503e-12, 1), (1.8469115126151792e-11, 1), (0.10344232609663151, 1), (6.427192111857494e-12, 1), (1.924660431029679e-11, 1), (7.001954571705937e-12, 1), (6.562195231651913e-12, 1), (7.263190049400237e-12, 1), (5.972777827878417e-12, 1), (6.905920280075861e-12, 1), (3.2231994850917545e-12, 1), (7.656431044722467e-12, 1), (9.998446515169235e-12, 1), (8.001155293868578e-12, 1), (0.9999999999981327, 1)]",Alternate Carbon Metabolism,,,['Rv0751c'],3hmp_c + nad_c --> 2mop_c + h_c + nadh_c
3HBCOAHL,5.291474355041617,0.036201865350337495,"[(0.9999999999981317, 1), (0.9999999999980895, 1), (8.001599383078428e-12, 1), (1.8468782059244404e-11, 1), (0.10344232609663162, 1), (6.427192111857494e-12, 1), (1.924660431029679e-11, 1), (7.001954571705937e-12, 1), (6.561973187046988e-12, 1), (7.263190049400237e-12, 1), (5.972777827878417e-12, 1), (6.906031302378324e-12, 1), (3.2234215296966795e-12, 1), (7.656431044722467e-12, 1), (9.998446515169235e-12, 1), (8.001377338473503e-12, 1), (0.9999999999981323, 1)]","Valine, Leucine, and Isoleucine Metabolism",3-hydroxyisobutyryl-CoA hydrolase,,['Rv1071c'],3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c
ECOAH12,5.291474355041616,0.036201865350337495,"[(8.001599383078428e-12, 2), (0.9999999999981317, 1), (0.9999999999980895, 1), (1.8468782059244404e-11, 1), (0.10344232609663184, 1), (6.427636201067344e-12, 1), (1.924660431029679e-11, 1), (7.002176616310862e-12, 1), (6.562195231651913e-12, 1), (7.263190049400237e-12, 1), (5.972999872483342e-12, 1), (6.906031302378324e-12, 1), (3.2231994850917545e-12, 1), (7.656431044722467e-12, 1), (9.998557537471697e-12, 1), (0.9999999999981323, 1)]","Valine, Leucine, and Isoleucine Metabolism",3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria),,"['Rv1472', 'Rv1070c', 'Rv2486', 'Rv3774', 'Rv0905']",2mp2coa_c + h2o_c --> 3hibutcoa_c
BKDA2,5.291474355041616,0.036201865350337495,"[(1.0, 3), (8.001599383078428e-12, 2), (1.8469115126151792e-11, 1), (0.10344232609682502, 1), (6.427414156462419e-12, 1), (1.9246826354901714e-11, 1), (7.002176616310862e-12, 1), (6.562195231651913e-12, 1), (7.263634138610087e-12, 1), (5.972777827878417e-12, 1), (6.906031302378324e-12, 1), (3.2234215296966795e-12, 1), (7.656431044722467e-12, 1), (9.997225269842147e-12, 1)]",Lipid metabolism,BKDA2,,"['Rv2496c', 'Rv2497c']",3mob_c + lpam_c --> 2mpdhl_c + co2_c
MMSAD1,5.291474355041614,0.036201865350337495,"[(8.001377338473503e-12, 2), (0.9999999999981317, 1), (0.9999999999980895, 1), (1.8468782059244404e-11, 1), (0.10344232609663151, 1), (6.427192111857494e-12, 1), (1.924660431029679e-11, 1), (7.001954571705937e-12, 1), (6.561973187046988e-12, 1), (7.263190049400237e-12, 1), (5.972777827878417e-12, 1), (6.905920280075861e-12, 1), (3.2231994850917545e-12, 1), (7.656431044722467e-12, 1), (9.998446515169235e-12, 1), (0.9999999999981333, 1)]",Alternate Carbon Metabolism,MMSAD1,,['Rv0753c'],2mop_c + coa_c + nad_c --> co2_c + nadh_c + ppcoa_c
ACLS,5.2914743544437,0.036201865359431366,"[(0.9999999999999374, 1), (0.999999999999972, 1), (0.9875806799277399, 1), (0.987580679927901, 1), (0.988865363284466, 1), (0.9875806799276935, 1), (0.987580679927557, 1), (0.9875806799276973, 1), (0.9875806799276914, 1), (0.9875806799277017, 1), (0.9875806799277229, 1), (0.9875806799277388, 1), (0.9875806799283097, 1), (0.9875806799277154, 1), (0.9875806799278645, 1), (0.9875806799277402, 1), (0.999999999999966, 1)]","Valine, Leucine, and Isoleucine Metabolism",acetolactate synthase,,"['Rv3003c', 'Rv3509c', 'Rv3002c', 'Rv1820']",h_c + 2.0 pyr_c --> alac__S_c + co2_c
DHAD1,5.2914743544437,0.036201865359431366,"[(0.9999999999999374, 1), (0.999999999999972, 1), (0.9875806799277399, 1), (0.987580679927901, 1), (0.988865363284466, 1), (0.9875806799276935, 1), (0.987580679927557, 1), (0.9875806799276973, 1), (0.9875806799276914, 1), (0.9875806799277017, 1), (0.9875806799277229, 1), (0.9875806799277388, 1), (0.9875806799283097, 1), (0.9875806799277154, 1), (0.9875806799278645, 1), (0.9875806799277402, 1), (0.999999999999966, 1)]","Valine, Leucine, and Isoleucine Metabolism","dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",,['Rv0189c'],23dhmb_c --> 3mob_c + h2o_c
KARA1i,5.2914743544437,0.036201865359431366,"[(0.9999999999999374, 1), (0.999999999999972, 1), (0.9875806799277399, 1), (0.987580679927901, 1), (0.988865363284466, 1), (0.9875806799276935, 1), (0.987580679927557, 1), (0.9875806799276973, 1), (0.9875806799276914, 1), (0.9875806799277017, 1), (0.9875806799277229, 1), (0.9875806799277388, 1), (0.9875806799283097, 1), (0.9875806799277154, 1), (0.9875806799278645, 1), (0.9875806799277402, 1), (0.999999999999966, 1)]","Valine, Leucine, and Isoleucine Metabolism",acetohydroxy acid isomeroreductase,,['Rv3001c'],alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c
GMPS2,5.240487252034096,0.03698710091544166,"[(0.8896967768669128, 1), (0.8933479189872742, 1), (0.8993380665779114, 1), (0.9869371652603149, 1), (0.9045111536979675, 1), (0.8589988946914673, 1), (1.0, 1), (0.8730440735816956, 1), (0.7462183833122253, 1), (0.8730723261833191, 1), (0.8875225782394409, 1), (0.9064560532569885, 1), (0.8691872358322144, 1), (0.8334748148918152, 1), (0.8344016075134277, 1), (0.9119094014167786, 1), (0.8679298758506775, 1)]",Purine and Pyrimidine Biosynthesis,GMP synthase,,['Rv3396c'],atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
IMPD,5.240479175291336,0.03698722686330452,"[(0.8896967768669128, 1), (0.8933477997779846, 1), (0.8993380069732666, 1), (0.9869371652603149, 1), (0.9045110940933228, 1), (0.8589988946914673, 1), (1.0, 1), (0.8730441331863403, 1), (0.7462183833122253, 1), (0.8730722665786743, 1), (0.8875226974487305, 1), (0.9064559936523438, 1), (0.8691872358322144, 1), (0.83347487449646, 1), (0.834401547908783, 1), (0.9119093418121338, 1), (0.8679298162460327, 1)]",Purine and Pyrimidine Biosynthesis,IMP dehydrogenase,,"['Rv3410c', 'Rv3411c', 'Rv1843c']",h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
MAN6PI,5.025315655180354,0.04052705232675144,"[(0.1774524450302124, 3), (0.19722366333007812, 1), (0.061072707176208385, 1), (0.17744827270507812, 1), (0.032071471214294434, 1), (0.20104873180389404, 1), (0.009456992149353027, 1), (0.2022172212600708, 1), (0.20212829113006592, 1), (0.2021578550338745, 1), (0.17618393898010254, 1), (0.1740283966064453, 1), (0.28078949451446533, 1), (0.17185187339782715, 1), (0.183538556098938, 1)]",Fructose and mannose metabolism,mannose-6-phosphate isomerase,,['Rv3255c'],man6p_c <=> f6p_c
MECDPS,4.958297723502186,0.04170921331839779,"[(0.6381292343139648, 2), (0.5630834102630615, 1), (0.888817548751831, 1), (0.6381440162658691, 1), (0.9512860774993896, 1), (0.638129711151123, 1), (0.6482148170471191, 1), (1.0, 1), (0.5848264694213867, 1), (0.585019588470459, 1), (0.584935188293457, 1), (0.6380665302276611, 1), (0.6460669040679932, 1), (0.4156336784362793, 1), (0.6589782238006592, 1), (0.6005327701568604, 1)]",Polyprenyl Metabolism,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,['Rv3581c'],2p4c2me_c --> 2mecdp_c + cmp_c
GRTT,4.872398590075692,0.04328375782635026,"[(0.5631780624389648, 1), (0.8888165950775146, 1), (0.6381406784057617, 1), (0.9512863159179688, 1), (0.6381278038024902, 1), (0.6422662734985352, 1), (1.0, 1), (0.584822416305542, 1), (0.5850169658660889, 1), (0.5849416255950928, 1), (0.6380643844604492, 1), (0.6476757526397705, 1), (0.4156301021575928, 1), (0.6589765548706055, 1), (0.6381268501281738, 1), (0.638127326965332, 1), (0.6006045341491699, 1)]",Polyprenyl Metabolism,geranyltranstransferase,,['Rv1086'],grdp_c + ipdp_c --> frdp_c + ppi_c
DMATT,4.872390445580216,0.043283910371565544,"[(0.5631778240203857, 1), (0.8888165950775146, 1), (0.6381406784057617, 1), (0.9512863159179688, 1), (0.6381275653839111, 1), (0.642266035079956, 1), (1.0, 1), (0.5848219394683838, 1), (0.5850167274475098, 1), (0.5849413871765137, 1), (0.6380643844604492, 1), (0.6476757526397705, 1), (0.4156303405761719, 1), (0.6589765548706055, 1), (0.6381263732910156, 1), (0.6381270885467529, 1), (0.6006040573120117, 1)]",Cofactor and Prosthetic Group Biosynthesis,dimethylallyltranstransferase,,"['Rv2173', 'Rv3398c', 'Rv3383c']",dmpp_c + ipdp_c --> grdp_c + ppi_c
OIVD3,4.745339457336516,0.04574187065265543,"[(1.0, 14), (4.5359271894085396e-12, 1), (1.1308842751134307e-11, 1), (0.10344232609373405, 1)]",Lipid metabolism,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),,['Rv3140'],2mbcoa_c + fad_c --> 2mb2coa_c + fadh2_c
BKDC1,4.745339457336208,0.04574187065266159,"[(0.9999999999993976, 8), (4.536038211711002e-12, 1), (1.1308842751134307e-11, 1), (0.9999999999993413, 1), (0.9999999999993971, 1), (0.999999999999142, 1), (0.9999999999993899, 1), (0.9999999999994181, 1), (0.9999999999994331, 1), (0.1034423260936721, 1)]",Lipid metabolism,BKDC1,,['Rv2495c'],2mbdhl_c + coa_c <=> 2mbcoa_c + dhlam_c
BKDA1,4.745339457335728,0.045741870652671164,"[(0.999999999998213, 7), (4.535816167106077e-12, 1), (1.1266765298501014e-11, 1), (0.9999999999982133, 1), (0.9999999999982437, 1), (0.9999999999982155, 1), (0.9999999999979574, 1), (0.9999999999982052, 1), (0.9999999999982333, 1), (0.9999999999982371, 1), (0.10344232609354931, 1)]",Lipid metabolism,BKDA1,,"['Rv2496c', 'Rv2497c']",3mop_c + h_c + lpam_c --> 2mbdhl_c + co2_c
MACCOAT,4.745339457335639,0.04574187065267294,"[(0.999999999998213, 7), (0.999999999998232, 2), (4.5359271894085396e-12, 1), (1.1308620706529382e-11, 1), (0.9999999999982133, 1), (0.9999999999982437, 1), (0.9999999999982155, 1), (0.9999999999979574, 1), (0.9999999999981793, 1), (0.10344232609354931, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-Methylacetyl-CoA thiolase,,"['Rv1323', 'Rv3556c', 'Rv0243', 'Rv0859', 'Rv1074c', 'Rv1135A']",2maacoa_c + coa_c <=> accoa_c + ppcoa_c
HACD9,4.7453394573356285,0.045741870652673114,"[(0.999999999998213, 7), (4.536038211711002e-12, 1), (1.1308842751134307e-11, 1), (0.9999999999982133, 1), (0.9999999999982437, 1), (0.9999999999982156, 1), (0.9999999999979574, 1), (0.9999999999982054, 1), (0.9999999999982335, 1), (0.999999999998192, 1), (0.10344232609354953, 1)]","Valine, Leucine, and Isoleucine Metabolism",3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA),,"['Rv1144', 'Rv3774']",3hmbcoa_c + nad_c --> 2maacoa_c + h_c + nadh_c
ECOAH9ir,4.745339457335624,0.045741870652673225,"[(0.999999999998213, 7), (4.535816167106077e-12, 1), (1.1308398661924457e-11, 1), (0.9999999999982133, 1), (0.9999999999982437, 1), (0.9999999999982156, 1), (0.9999999999979574, 1), (0.9999999999982054, 1), (0.9999999999982335, 1), (0.999999999998192, 1), (0.1034423260935492, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA),,"['Rv1472', 'Rv1070c', 'Rv2486', 'Rv3774', 'Rv0905']",2mb2coa_c + h2o_c --> 3hmbcoa_c
ACHBS,4.745339457295382,0.04574187065347718,"[(0.9999999998755904, 3), (8.539391416206854e-12, 1), (1.833355689484506e-11, 1), (0.9999999998755903, 1), (0.999999999878581, 1), (0.9999999998751413, 1), (0.9999999998790107, 1), (0.9999999998750891, 1), (0.9999999998750885, 1), (0.9999999998748318, 1), (0.9999999998755899, 1), (0.9999999998756072, 1), (0.9999999998735503, 1), (0.999999999875823, 1), (0.10344232608472848, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-aceto-2-hydroxybutanoate synthase,,"['Rv3003c', 'Rv3470c', 'Rv3002c']",2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
DHAD2,4.745339457295074,0.045741870653483334,"[(0.9999999998755914, 3), (8.539169371601929e-12, 1), (1.8333223827937672e-11, 1), (0.9999999998755918, 1), (0.999999999878582, 1), (0.9999999998751423, 1), (0.9999999998790117, 1), (0.9999999998750903, 1), (0.9999999998750895, 1), (0.9999999998748329, 1), (0.9999999998755909, 1), (0.9999999998756082, 1), (0.9999999998734688, 1), (0.9999999998758058, 1), (0.1034423260847287, 1)]","Valine, Leucine, and Isoleucine Metabolism","Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",,['Rv0189c'],23dhmp_c --> 3mop_c + h2o_c
KARA2i,4.745339457295074,0.045741870653483334,"[(0.9999999998755914, 3), (8.539169371601929e-12, 1), (1.8333223827937672e-11, 1), (0.9999999998755918, 1), (0.999999999878582, 1), (0.9999999998751423, 1), (0.9999999998790117, 1), (0.9999999998750903, 1), (0.9999999998750895, 1), (0.9999999998748329, 1), (0.9999999998755909, 1), (0.9999999998756082, 1), (0.9999999998734688, 1), (0.9999999998758058, 1), (0.1034423260847287, 1)]","Valine, Leucine, and Isoleucine Metabolism",,,['Rv3001c'],2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
HSDy,4.745339457143081,0.04574187065651987,"[(1.2405643179391745e-10, 3), (0.999999999982093, 1), (0.9999999999652542, 1), (1.1413958667105817e-10, 1), (1.2570200436101686e-10, 1), (1.126327919820369e-10, 1), (1.2580037012099865e-10, 1), (1.2573320162800883e-10, 1), (1.2599177257044403e-10, 1), (1.2405843019536178e-10, 1), (1.2386003334086126e-10, 1), (1.3119882957823847e-10, 1), (1.43250411532847e-10, 1), (1.2405676486082484e-10, 1), (0.8965576739061935, 1)]",Glycolysis/Gluconeogenesis,homoserine dehydrogenase (NADPH),,['Rv1294'],hom__L_c + nadp_c <-- aspsa_c + h_c + nadph_c
