,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
PGM,1.0866236371183655,0.2991259163815654,"[(0.013428433044761157, 1), (0.017344002475714326, 1), (0.024153617436386554, 1), (0.019565811283741574, 1), (0.03592622747318508, 1), (0.02895902597151956, 1), (0.024153618517759767, 1), (0.03592622744332541, 1), (0.02964864466266981, 1), (0.029648647114380644, 1), (0.014070784045164153, 1), (0.024153617428589236, 1), (0.02415361744233735, 1), (0.03133842127362474, 1), (0.008347746894267871, 1), (0.03597220923314559, 1), (0.029116612483279347, 1), (0.024153617436865282, 1), (0.041421254670739316, 1), (0.0359262274430181, 1), (0.03592622747332008, 1), (0.019565811281771595, 1), (0.02964141841926793, 1), (0.011848975249572291, 1), (0.029648644664022505, 1), (0.011848975247271909, 1), (0.019019973889452757, 1), (0.035926227443073167, 1), (0.17509544451597225, 1), (0.02415361743632438, 1), (0.041421254670886754, 1), (0.0359262274434915, 1), (0.02911661248381847, 1), (0.016224295696749103, 1), (0.029648644665480006, 1), (0.01407078409010154, 1), (0.019565811271854194, 1), (0.013428433017176111, 1), (0.022543776186278564, 1), (0.018923460244815615, 1), (0.013428433012387053, 1), (0.02964864466268935, 1), (0.016220211648387384, 1), (0.0, 1), (0.02964864466492223, 1), (0.0296486478071758, 1), (0.0314820848066697, 1), (0.03592622744362384, 1), (0.01956581128171031, 1), (0.024153617437229435, 1), (0.029648644664960422, 1), (0.029648644665669188, 1), (0.03592622744377838, 1), (0.02415361743641231, 1), (0.024153617438547492, 1), (0.020459634342058663, 1), (0.024153617437069563, 1), (0.02799282164867911, 1), (0.9999999999999996, 1), (0.013428433007823593, 1), (0.029648644664463042, 1), (0.03133842127342046, 1), (0.011848975247776394, 1), (0.027992821654388322, 1), (0.035926227443025205, 1), (0.01956581127207624, 1), (0.13534113145808835, 1), (0.03892733803536075, 1), (0.01622021163839804, 1), (0.00834774689575113, 1), (0.02964864466406869, 1), (0.024153617436273755, 1), (0.013840816294503178, 1), (0.02964864466415662, 1), (0.02584339405864533, 1), (0.05324393049099907, 1), (0.013833507063336192, 1), (0.024153617436036612, 1), (0.017344002467787334, 1), (0.03099760304624599, 1), (0.0241536174365109, 1), (0.017344002475314646, 1), (0.024153617436600605, 1), (0.03148208478872938, 1), (0.018923460233912337, 1), (0.029652728717336707, 1), (0.02415361743683242, 1), (0.029648644664554524, 1), (0.02268144315714249, 1), (0.02415361743093669, 1), (0.013428433017718788, 1), (0.010725184415509403, 1), (0.011848975243450077, 1), (0.035926227438861424, 1), (0.013357911884876117, 1), (0.018923460235191314, 1), (0.014060886364715586, 1), (0.011848975248192062, 1), (0.0359262274391865, 1), (0.024146308236977276, 1), (0.024153617437761454, 1), (0.017344002470606412, 1), (0.014070784051625651, 1), (0.0236675670146953, 1), (0.024153617436565966, 1), (0.041421254671218044, 1), (0.019565811547982648, 1), (0.013428433017344865, 1), (0.024153617436171615, 1), (0.019565811266540223, 1), (0.02415361742958755, 1), (0.03592622742678753, 1), (0.04142125466178648, 1), (0.018923460244347545, 1), (0.02965272871644231, 1), (0.01072518441178083, 1), (0.03592622744398, 1), (0.03592622744349239, 1), (0.013428433016839492, 1), (0.019565811282106438, 1), (0.024153617436381225, 1), (0.011848975247121807, 1), (0.01956581128115875, 1), (0.013428433016651198, 1), (0.6115762571036014, 1), (0.02415361743612987, 1), (0.024153617441346142, 1), (0.04146723643041117, 1), (0.02362158525387681, 1), (0.014070784144784021, 1), (0.01956581127886814, 1), (0.0241536174364283, 1), (0.028959025937800753, 1), (0.024153617429631957, 1)]",Glycolysis/Gluconeogenesis,phosphoglycerate mutase,"['Rv0489', 'Rv3214']",2pg_c <=> 3pg_c,
HMEDS,1.071280337229682,0.3025488954132367,"[(0.8117816259897676, 107), (0.8117818645383047, 2), (0.9999999999999998, 1), (0.8116315789599234, 1), (0.8117818748553436, 1), (0.8122360609529679, 1), (0.7753824589058398, 1), (0.8118746599192417, 1), (0.8117813771241915, 1), (0.8115217696101812, 1), (0.8119660240089559, 1), (0.8697298366252633, 1), (0.8117556241992222, 1), (0.8117813874412304, 1), (0.8118934307072557, 1), (0.8112756645425508, 1), (0.8105330673946103, 1), (0.8117816652239616, 1), (0.7576909837479265, 1), (0.8119053121810758, 1), (0.8117627122059861, 1), (0.8117897366400294, 1), (0.8119891594897349, 1), (0.0, 1), (0.9892504058086276, 1), (0.8117138782052274, 1), (0.8117744695336542, 1)]",Polyprenyl Metabolism,,['Rv2868c'],2mecdp_c + 2.0 fdxrd_c --> 2.0 fdxox_c + h2o_c + hmbpp_c,
DHPS2,1.0390535682632698,0.30990631429736815,"[(8.154199411338803e-14, 43), (0.9999999561833648, 2), (0.9999999589068664, 1), (0.9999999617447372, 1), (0.9999999689501308, 1), (0.9999999602516689, 1), (9.228052011095433e-14, 1), (0.9999999515071203, 1), (0.9999999604598051, 1), (0.999999960619143, 1), (0.8014107349368331, 1), (0.9999999617428825, 1), (0.9999999892406455, 1), (0.9999999605796112, 1), (0.9999999617441231, 1), (0.9999999605775909, 1), (0.9999999605796984, 1), (0.9999999606195075, 1), (0.9999999859853791, 1), (0.8014107174178082, 1), (0.9999999632699749, 1), (8.1423988333195e-14, 1), (0.9999999559359478, 1), (0.9999999605796781, 1), (0.9999999603290615, 1), (0.9999999605793796, 1), (0.9999999581932152, 1), (0.9999999603795587, 1), (2.7279493207975504e-08, 1), (0.9999999529649466, 1), (0.9999999689176119, 1), (0.9999999617431321, 1), (0.9999999605790952, 1), (0.9999999605791078, 1), (1.0, 1), (0.9999999605912876, 1), (0.9999999574594742, 1), (0.9999999287025877, 1), (0.999999960233294, 1), (0.999999960137215, 1), (0.9999999605797092, 1), (0.9999999568430847, 1), (0.999999951661397, 1), (0.9999999602516774, 1), (0.999999992962723, 1), (0.9999999622979496, 1), (0.9999999607428006, 1), (8.168729463053972e-10, 1), (0.99999996057289, 1), (0.9999999603800733, 1), (0.9999999636925603, 1), (0.9999999640236142, 1), (0.9999999922627827, 1), (0.999999971192953, 1), (0.9999999288463882, 1), (0.9999999602320595, 1), (0.9999999867662218, 1), (0.0, 1), (0.9999999846466755, 1), (0.9999999756883289, 1), (0.9999999587622386, 1), (0.9999999389033718, 1), (0.9999999603805089, 1), (0.9999998819896057, 1), (0.9999999603795101, 1), (0.9999999553878434, 1), (0.9999999553324195, 1), (0.9999999922581302, 1), (0.9999999603778319, 1), (0.9999999617437616, 1), (0.9999999605797292, 1), (0.9999999616298505, 1), (7.177937591801815e-12, 1), (0.999999963632346, 1), (0.9999999605790741, 1), (0.9999999605818387, 1), (0.9999999225139616, 1), (0.9999999602520053, 1), (0.9999999623851012, 1), (0.9999999587389852, 1), (0.9999999761864511, 1), (0.9999999531170666, 1), (0.9999999605793354, 1), (0.9999999698707716, 1), (0.867607102473499, 1), (2.0249791881125015e-13, 1), (0.999999960580431, 1), (0.9999999517965865, 1), (0.9999999760339964, 1), (0.9999999419092237, 1), (0.9999999756267597, 1)]",Folate Metabolism,dihydropteroate synthase,"['Rv1207', 'Rv3608c']",4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,
DHNPA2,1.0390535561703542,0.3099063171018417,"[(0.0, 50), (0.9999999561665669, 2), (0.9999999588900685, 1), (0.9999999617279393, 1), (0.9999999689439236, 1), (0.9999999602348709, 1), (0.9999999514903227, 1), (0.999999960443007, 1), (0.9999999606023449, 1), (0.8014107349233549, 1), (0.9999999617260844, 1), (0.9999999892238474, 1), (0.999999960562813, 1), (0.9999999617273251, 1), (0.9999999605607928, 1), (0.9999999605629006, 1), (0.9999999606027095, 1), (0.9999999859685864, 1), (0.8014107174043302, 1), (0.9999999632531769, 1), (0.99999995591915, 1), (0.9999999605628802, 1), (0.9999999602800436, 1), (0.9999999605625814, 1), (0.9999999581764674, 1), (0.9999999603627608, 1), (0.9999999529806887, 1), (0.999999968900814, 1), (0.999999961726334, 1), (0.9999999605622975, 1), (0.9999999605623098, 1), (0.9999999999999999, 1), (0.9999999605744896, 1), (0.9999999574426761, 1), (0.9999999286857898, 1), (0.999999960216496, 1), (0.999999960120417, 1), (0.9999999605629113, 1), (0.9999999568262867, 1), (0.9999999516454485, 1), (0.9999999602348792, 1), (0.999999992945925, 1), (0.9999999622811517, 1), (0.9999999607260025, 1), (0.9999999605560919, 1), (0.9999999603632753, 1), (0.9999999636757622, 1), (0.9999999640068162, 1), (0.9999999922459846, 1), (0.9999999711761551, 1), (0.9999999288295904, 1), (0.9999999602152614, 1), (0.9999999866483624, 1), (0.9999999846298773, 1), (0.9999999756715311, 1), (0.9999999587504013, 1), (0.999999938886633, 1), (0.999999960363711, 1), (0.9999998819757259, 1), (0.9999999603627124, 1), (0.9999999553710457, 1), (0.9999999553156217, 1), (0.9999999922413834, 1), (0.9999999603610339, 1), (0.9999999617269637, 1), (0.9999999605629311, 1), (0.9999999616130526, 1), (0.999999963615548, 1), (0.9999999605622761, 1), (0.9999999605650408, 1), (0.9999999224971635, 1), (0.9999999602352073, 1), (0.9999999623683032, 1), (0.9999999587221873, 1), (0.9999999761696532, 1), (0.9999999531002687, 1), (0.9999999605625375, 1), (0.9999999699466599, 1), (0.8676071024589144, 1), (0.999999960563633, 1), (0.9999999517797886, 1), (0.999999972257369, 1), (0.9999999418921426, 1), (0.9999999756099621, 1)]",Folate Metabolism,,['Rv3607c'],dhnpt_c --> 6hmhpt_c + gcald_c,
HPPK2,1.0390535561537506,0.30990631710569216,"[(0.0, 50), (0.999999956183365, 2), (0.9999999589068667, 1), (0.9999999617447374, 1), (0.9999999689607219, 1), (0.9999999602516692, 1), (0.999999951507121, 1), (0.9999999604598051, 1), (0.9999999606191432, 1), (0.801410734936817, 1), (0.9999999617428825, 1), (0.9999999892406455, 1), (0.9999999605796112, 1), (0.9999999617441233, 1), (0.999999960577591, 1), (0.9999999605796984, 1), (0.9999999606195077, 1), (0.9999999859853844, 1), (0.8014107174177922, 1), (0.9999999632699751, 1), (0.9999999559359479, 1), (0.9999999605796783, 1), (0.9999999602968417, 1), (0.9999999605793796, 1), (0.9999999581932656, 1), (0.9999999603795588, 1), (0.9999999529649468, 1), (0.9999999689176121, 1), (0.9999999617431322, 1), (0.9999999605790953, 1), (0.999999960579108, 1), (1.0, 1), (0.9999999605912878, 1), (0.9999999574594742, 1), (0.9999999287025879, 1), (0.9999999602332942, 1), (0.9999999601372153, 1), (0.9999999605797093, 1), (0.9999999568430848, 1), (0.9999999516622468, 1), (0.9999999602516774, 1), (0.999999992962723, 1), (0.9999999622979497, 1), (0.9999999607428007, 1), (0.9999999605728901, 1), (0.9999999603800735, 1), (0.9999999636925605, 1), (0.9999999640236145, 1), (0.9999999922627828, 1), (0.9999999711929533, 1), (0.9999999288463887, 1), (0.9999999602320595, 1), (0.9999999867662218, 1), (0.9999999846466755, 1), (0.9999999756883291, 1), (0.9999999587671994, 1), (0.9999999389034312, 1), (0.9999999603805091, 1), (0.9999998819896059, 1), (0.9999999603795103, 1), (0.9999999553878436, 1), (0.9999999553324195, 1), (0.9999999922581816, 1), (0.9999999603778321, 1), (0.9999999617437618, 1), (0.9999999605797292, 1), (0.9999999616298507, 1), (0.999999963632346, 1), (0.9999999605790744, 1), (0.9999999605818389, 1), (0.9999999225139616, 1), (0.9999999602520054, 1), (0.9999999623851014, 1), (0.9999999587389854, 1), (0.9999999761864513, 1), (0.9999999531170668, 1), (0.9999999605793356, 1), (0.9999999698707717, 1), (0.8676071024734886, 1), (0.9999999605804312, 1), (0.9999999517965867, 1), (0.9999999722741673, 1), (0.9999999419089407, 1), (0.9999999756267599, 1)]",Folate Metabolism,6-hydroxymethyl-dihydropterin pyrophosphokinase,['Rv3606c'],6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,
GLYCt,1.0337249749651323,0.3111453132942991,"[(0.962158203125, 52), (0.962646484375, 44), (0.9619140625, 18), (0.96337890625, 3), (0.96142578125, 3), (0.96728515625, 1), (0.95068359375, 1), (0.9599609375, 1), (0.967041015625, 1), (0.981689453125, 1), (0.931640625, 1), (0.978759765625, 1), (0.983154296875, 1), (0.95263671875, 1), (0.0, 1), (1.0, 1), (0.7451171875, 1), (0.965087890625, 1), (0.939208984375, 1)]",Transport,glycerol transport via channel,[],glyc_c <=> glyc_e,
FBPA,1.025977093617029,0.31295847205293087,"[(0.0, 125), (1.0, 9)]",Mycolic acid pathway,MNXR90624,"['Rv3804c', 'Rv0129c', 'Rv3803c', 'Rv1886c']",h2o_c + 2.0 tre6mm_c --> 2.0 h_c + tdm3_c + tre_c,['Rv0129c']
TMDS3,1.0109761776457218,0.31650869964134104,"[(0.999999998467689, 18), (0.9999999984676835, 6), (0.6783891136628964, 5), (0.0, 5), (0.9999999984673681, 4), (0.999999999631027, 3), (0.9999999981402486, 3), (0.9999999984676833, 3), (0.8014107477821538, 2), (0.9999999981528761, 2), (0.9999999996427396, 1), (0.6783891136635528, 1), (0.9999999983044772, 1), (0.9999999981402489, 1), (0.9999999984673789, 1), (0.6783891133484008, 1), (0.9999999983477755, 1), (0.9999999985118284, 1), (0.9999999980251556, 1), (0.9999999996310245, 1), (0.6783891136635695, 1), (0.99999999846617, 1), (0.9999999984670328, 1), (0.6783891136605062, 1), (0.9999999984679692, 1), (0.9999999985075475, 1), (0.9999999984665003, 1), (0.9999999984677019, 1), (0.9999999987199443, 1), (0.9999999984696101, 1), (0.9999999984673686, 1), (0.6783891136604427, 1), (0.9999999995920044, 1), (0.6783891133460367, 1), (0.9999999984675221, 1), (0.9999999984673682, 1), (0.9999999984673679, 1), (0.9999999982679179, 1), (0.6783891136641751, 1), (0.6783891133480837, 1), (0.9999999984675945, 1), (0.9999999984674096, 1), (0.999999998467044, 1), (0.9999999984676764, 1), (0.9999999984704558, 1), (0.9999999982676397, 1), (0.9999999981200215, 1), (0.9999999984680328, 1), (0.999999998025207, 1), (0.999999998467373, 1), (0.6783891136635691, 1), (0.9999999984671974, 1), (0.9999999981403125, 1), (0.9999999984674998, 1), (0.9999999981879927, 1), (0.678389113348153, 1), (0.6783891136627829, 1), (0.9999999986192064, 1), (0.6783891136627586, 1), (0.6783891133355658, 1), (0.9999999982679193, 1), (0.9999999984681802, 1), (0.9999999984677657, 1), (0.9999999981200212, 1), (0.999999998467531, 1), (0.6783891133353397, 1), (0.9999999984677236, 1), (0.9999999982679181, 1), (0.9999999982655162, 1), (0.9999999984711806, 1), (0.9999999981404196, 1), (0.678389113220413, 1), (0.6783891136638152, 1), (0.9999999982679182, 1), (0.9999999996310969, 1), (0.9999999984678454, 1), (0.9999999982679378, 1), (0.6783891136627513, 1), (0.9999152251579949, 1), (1.0, 1), (0.999999998470064, 1), (0.9999999980252079, 1), (0.9999999984658403, 1), (0.9999999981491267, 1), (0.9999999981530097, 1), (0.6783891136625804, 1), (0.9999999984673695, 1), (0.8676071646773319, 1), (0.6783891136105971, 1), (0.9999999984683747, 1), (0.6783891136628958, 1), (0.6783891136630156, 1), (0.9999999984676837, 1)]",Purine and Pyrimidine Biosynthesis,Dihydrofolate Synthase (FAD dependent),['Rv2754c'],dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,
PC20M,1.0099517767441952,0.3167530749228897,"[(0.008, 132), (0.0, 1), (0.006, 1)]",Cofactor and Prosthetic Group Biosynthesis,precorrin-2 C20-methyltransferase,['Rv2066'],amet_c + dscl_c --> ahcys_c + h_c + pre3a_c,
DHNPA,0.9701012022607679,0.3264568479432005,"[(0.0, 84), (0.9999999720960322, 1), (0.9999999708897775, 1), (0.9999999914667111, 1), (0.9999999497020177, 1), (0.9999999888690616, 1), (0.999999970588498, 1), (0.9999999704726953, 1), (0.9999999813783377, 1), (0.9999999961712035, 1), (0.9999999488063651, 1), (0.999999971149653, 1), (0.9999999794180778, 1), (0.9999999709171015, 1), (0.9999999709125081, 1), (0.9999999904103932, 1), (0.9999999629024472, 1), (0.9999999709147497, 1), (0.9999999709165546, 1), (0.999999975351378, 1), (0.9999999810688212, 1), (0.99999997776644, 1), (0.9999999709150605, 1), (0.9999999863328596, 1), (0.9999999705999648, 1), (0.9999999375685777, 1), (0.999999974665094, 1), (0.9999999657960363, 1), (0.8014107345515556, 1), (0.9999999661075734, 1), (0.999999966112577, 1), (0.9999999654846902, 1), (0.9999999706003793, 1), (0.9999999527410771, 1), (0.9999999709151052, 1), (0.9999999709159813, 1), (0.9999999708488279, 1), (0.9999999794166327, 1), (0.9999999724474629, 1), (0.9999999970065135, 1), (0.9999999708923962, 1), (0.9999999705965227, 1), (1.0, 1), (0.9999999893666087, 1), (0.9999999861739662, 1), (0.9999999709151641, 1), (0.9999999559450871, 1), (0.9999999718861722, 1), (0.9999999692454625, 1), (0.9999999886918541, 1), (0.9999999705881448, 1)]",Folate Metabolism,DHNPA,['Rv3607c'],dhnpt_c --> 2ahhmp_c + gcald_c,
HPPK,0.9701012022206458,0.326456847953168,"[(0.0, 84), (0.9999999720960323, 1), (0.9999999708897777, 1), (0.999999991466711, 1), (0.9999999497020179, 1), (0.9999999888690617, 1), (0.9999999705884982, 1), (0.9999999704726955, 1), (0.999999981378338, 1), (0.9999999961712036, 1), (0.9999999488063652, 1), (0.9999999711496532, 1), (0.9999999794180779, 1), (0.9999999709171017, 1), (0.9999999709125083, 1), (0.9999999904103934, 1), (0.9999999629024474, 1), (0.9999999709147499, 1), (0.9999999709165547, 1), (0.999999975351378, 1), (0.9999999811528771, 1), (0.9999999777664402, 1), (0.9999999709150608, 1), (0.9999999863328599, 1), (0.9999999705999648, 1), (0.999999937568578, 1), (0.9999999746650942, 1), (0.9999999657960363, 1), (0.801410734551556, 1), (0.9999999661075737, 1), (0.9999999661125774, 1), (0.9999999654846902, 1), (0.9999999706003795, 1), (0.9999999527410772, 1), (0.9999999709151053, 1), (0.9999999709159813, 1), (0.9999999708488279, 1), (0.9999999794166328, 1), (0.999999972447463, 1), (0.9999999970065134, 1), (0.9999999708923962, 1), (0.9999999705965229, 1), (0.9999999999999999, 1), (0.9999999893666089, 1), (0.9999999861739662, 1), (0.9999999709151643, 1), (0.9999999559450872, 1), (0.9999999718861722, 1), (0.9999999692454627, 1), (0.9999999886918541, 1), (0.999999970588145, 1)]",Folate Metabolism,HPPK,['Rv3606c'],2ahhmp_c + atp_c --> 2ahhmd_c + amp_c + h_c,
FOLD3,0.9701012022206277,0.326456847953168,"[(0.0, 84), (0.9999999720960323, 1), (0.9999999708897778, 1), (0.9999999914667111, 1), (0.9999999497020179, 1), (0.9999999888690618, 1), (0.9999999705884982, 1), (0.9999999704726955, 1), (0.9999999813783381, 1), (0.9999999961712038, 1), (0.9999999488063652, 1), (0.9999999711496533, 1), (0.9999999794180779, 1), (0.9999999709171017, 1), (0.9999999709125085, 1), (0.9999999904103936, 1), (0.9999999629024475, 1), (0.9999999709147499, 1), (0.9999999709165549, 1), (0.9999999753513782, 1), (0.9999999811528771, 1), (0.999999977766514, 1), (0.9999999709150608, 1), (0.99999998633286, 1), (0.9999999705999648, 1), (0.999999937568578, 1), (0.9999999746650943, 1), (0.9999999657960364, 1), (0.801410734551556, 1), (0.9999999661075738, 1), (0.9999999661125774, 1), (0.9999999654846903, 1), (0.9999999706003796, 1), (0.9999999527410772, 1), (0.9999999709151055, 1), (0.9999999709159815, 1), (0.999999970848828, 1), (0.9999999794166328, 1), (0.999999972447463, 1), (0.9999999970065134, 1), (0.9999999708923965, 1), (0.9999999705965229, 1), (0.9999999999999999, 1), (0.999999989366609, 1), (0.9999999861739665, 1), (0.9999999709151645, 1), (0.9999999559450872, 1), (0.9999999718861724, 1), (0.9999999692454629, 1), (0.9999999886918541, 1), (0.9999999705881452, 1)]",Folate Metabolism,dihydropteroate synthase,"['Rv1207', 'Rv3608c']",2ahhmd_c + 4abz_c --> dhpt_c + ppi_c,
L_LACD3,0.9577853716735837,0.32953572838973677,"[(4.99844251551954e-06, 9), (4.9984425155114694e-06, 4), (4.998442515519537e-06, 4), (4.998442515519398e-06, 4), (4.998442515519357e-06, 3), (4.99844250727795e-06, 2), (0.0, 2), (4.99844254480048e-06, 2), (4.998442510491356e-06, 2), (0.8365123008885895, 1), (4.998442515544619e-06, 1), (4.998442544800476e-06, 1), (4.998442515519642e-06, 1), (4.998442515511486e-06, 1), (4.998442507604966e-06, 1), (1.585594562202829e-06, 1), (4.998442511688796e-06, 1), (1.585594568310089e-06, 1), (4.998442504380369e-06, 1), (4.998442544800405e-06, 1), (4.998442515536721e-06, 1), (1.5855945694175235e-06, 1), (1.585594526522098e-06, 1), (1.585594569402731e-06, 1), (4.998442515521088e-06, 1), (1.58559457029342e-06, 1), (4.998442515504497e-06, 1), (4.998442515519696e-06, 1), (2.7223638924753213e-17, 1), (1.5855945648266896e-06, 1), (4.998442521767963e-06, 1), (1.5855945548795853e-06, 1), (1.5855945694432123e-06, 1), (4.998442514205074e-06, 1), (1.5855946104579334e-06, 1), (4.998442508918941e-06, 1), (1.5855945694116146e-06, 1), (1.5855945733827795e-06, 1), (4.998442515511459e-06, 1), (1.5855945650716719e-06, 1), (4.998442515551612e-06, 1), (1.5855945828138578e-06, 1), (0.8337165419841873, 1), (1.5855945694075929e-06, 1), (1.58559456941792e-06, 1), (0.9062817219834254, 1), (0.8337165419841599, 1), (4.998442515548458e-06, 1), (4.998442515519218e-06, 1), (1.585594575007941e-06, 1), (0.8337165419841627, 1), (4.998442510487219e-06, 1), (4.998442507595774e-06, 1), (4.998442506768839e-06, 1), (1.5855946263292776e-06, 1), (4.998442504382378e-06, 1), (4.998442515511588e-06, 1), (1.585594575783708e-06, 1), (1.585594584619339e-06, 1), (1.5855945622786146e-06, 1), (4.998442515422609e-06, 1), (1.5855945564144903e-06, 1), (4.998442507595984e-06, 1), (4.998442515519516e-06, 1), (1.5855945663756147e-06, 1), (1.5855945763389651e-06, 1), (4.998442515519462e-06, 1), (4.99844250708957e-06, 1), (1.5855945693099198e-06, 1), (4.998442515519577e-06, 1), (1.5855945625683812e-06, 1), (4.998442515521468e-06, 1), (1.5855945512338607e-06, 1), (4.9984425067688324e-06, 1), (1.5855945248723522e-06, 1), (4.99844251551354e-06, 1), (4.998442515519354e-06, 1), (4.998442509913866e-06, 1), (4.998442515520404e-06, 1), (4.998442510491342e-06, 1), (4.998442510491319e-06, 1), (1.5855945650718006e-06, 1), (4.998442515527709e-06, 1), (1.5855945705943504e-06, 1), (4.9984425043819715e-06, 1), (4.998442515558771e-06, 1), (4.998442544802072e-06, 1), (4.998442515522342e-06, 1), (4.9984425104913525e-06, 1), (4.998442515398526e-06, 1), (4.9984425118831835e-06, 1), (1.5855945548584061e-06, 1), (4.998442566128464e-06, 1), (4.99844251551955e-06, 1), (1.5855946239888985e-06, 1), (4.99844250376606e-06, 1), (1.5855945625680085e-06, 1), (1.5855945589491653e-06, 1), (1.5855945427138137e-06, 1), (4.9984425155115745e-06, 1), (1.585594582007906e-06, 1), (1.5855945654266803e-06, 1), (1.585594594962865e-06, 1), (1.5855945534304136e-06, 1), (1.66614750517318e-06, 1), (4.998442512312057e-06, 1), (1.5855945694404747e-06, 1), (4.9984425148018015e-06, 1), (4.998442609746741e-06, 1), (4.99844251551936e-06, 1), (4.998442507277943e-06, 1)]",Pyruvate Metabolism,L-Lactate dehydrogenase (menaquinone),['Rv1872c'],lac__L_c + mqn8_c --> mql8_c + pyr_c,
CYTBD2,0.957782920770426,0.3295363449573212,"[(0.0, 129), (0.8365114837006091, 1), (0.8337191236867468, 1), (0.9062846664007311, 1), (0.833715710821699, 1), (0.8337157108217018, 1)]",Redox Metabolism,CYTBD2,"['Rv1620c', 'Rv1622c', 'Rv1621c', 'Rv1623c']",2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c,
ADK2,0.9361439485486215,0.33504090517397767,"[(0.0, 131), (0.9509112303894255, 1), (0.9509112302028638, 1), (0.9509112301502686, 1)]",Purine and Pyrimidine Biosynthesis,ADK2,['Rv0733'],amp_c + pppi_c <=> adp_c + ppi_c,
PPK2,0.936143948541655,0.335040905175767,"[(0.0, 131), (0.9509112303894255, 1), (0.9509112302028638, 1), (0.9509112301545554, 1)]",Purine and Pyrimidine Biosynthesis,,['Rv2984'],atp_c + ppi_c --> adp_c + pppi_c,
FAS181,0.9361439483104478,0.33504090523524244,"[(1.0, 131), (0.0, 3)]",Fatty Acid Metabolism,Fatty acid synthase  n C181 ,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",4.0 h_c + hdca_c + malcoa_c + 3.0 nadph_c + o2_c --> co2_c + coa_c + 3.0 h2o_c + 3.0 nadp_c + ocdcea_c,['Rv1484']
TMDS,0.9143896205795032,0.3407004175514706,"[(0.0, 102), (0.3216108852975979, 26), (0.9999999999999871, 2), (0.8014107490096792, 1), (0.9999999998002554, 1), (8.4773165424788e-05, 1), (0.9999999999999999, 1)]",Purine and Pyrimidine Biosynthesis,thymidylate synthase,['Rv2764c'],dump_c + mlthf_c --> dhf_c + dtmp_c,['Rv2764c']
FOMETR,0.9079818299805321,0.34239209745151067,"[(0.0, 132), (1.0, 1), (0.19999999999999998, 1)]",Cofactor and Prosthetic Group Biosynthesis,,['Rv2211c'],5fthf_c + h_c <=> h2o_c + methf_c,
