"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"new column"	"Pathways of gene"	"Pathways of enzyme"	"Reactions of gene"	"Pathways of a reaction"
"ipdC"	"Rv3553"	3991621	3992688	"3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-5-hydroxy-7a-methyl-1-oxo-octahydro-1<i>H</i>-indene-4-carboxyl-CoA dehydrogenase"		"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	RXN-19796	"androstenedione degradation"
G185E-4616	"Rv0487"	576787	577338	"conserved hypothetical protein"		""	""	""	""
G185E-5162	"Rv1004c"	1120889	1122148	"probable membrane protein"		""	""	""	""
G185E-5911	"Rv1719"	1945641	1946420	"probable transcriptional regulatory protein"		""	""	""	""
G185E-6539	"Rv2315c"	2587287	2588804	"conserved protein"		""	""	""	""
"mmaA2"	"Rv0644c"	738297	739160	"methoxy mycolic acid synthase 2"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "cyclopropane fatty acid (CFA) biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "cyclopropane fatty acid (CFA) biosynthesis"	"cis,cis-&Delta;19,31-C50:2-[acp] reductase" // "cis-cyclopropane-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] synthase" // "cis-&Delta;21-39-hydroxy-40-methyl-C59:1-[acp] reductase" // 2.1.1.79-RXN	"mycolate biosynthesis" // "cyclopropane fatty acid (CFA) biosynthesis"
"PPE49"	"Rv3125c"	3490476	3491651	"PPE family protein PPE49"		""	""	""	""
"mak"	"Rv0127"	154232	155599	"maltokinase"		"glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)"	"glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)"	RXN-12960	"glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)"
G185E-7459	"Rv3192"	3559563	3560024	"conserved hypothetical alanine and proline-rich protein"		""	""	""	""
G185E-5542	"Rv1362c"	1533948	1534610	"possible membrane protein"		""	""	""	""
"suhB"	"Rv2701c"	3015863	3016735	"inositol-1-monophosphatase"		"<i>myo</i>-inositol biosynthesis"	"<i>myo</i>-inositol biosynthesis"	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	"<i>myo</i>-inositol biosynthesis"
"mazF5"	"Rv1942c"	2194644	2194973	"possible toxin"		""	""	""	""
G185E-7015	"Rv2766c"	3075588	3076370	"probable short-chain type dehydrogenase/reductase"		""	""	""	""
G185E-4329	"Rv0209"	249038	250123	"hypothetical protein"		""	""	""	""
G185E-6225	"Rv2023c"	2267749	2268108	"hypothetical protein"		""	""	""	""
"pstB"	"Rv0933"	1041264	1042094	"phosphate-transport ATP-binding protein ABC transporter"		""	""	ABC-27-RXN	""
"nuoF"	"Rv3150"	3515412	3516749	"probable NADH dehydrogenase I (chain F)"		"NADH to cytochrome <i>bd</i> oxidase electron transfer I" // "aerobic respiration I (cytochrome c)"	""	NADH-DEHYDROG-A-RXN	"aerobic respiration I (cytochrome c)" // "NADH to cytochrome <i>bd</i> oxidase electron transfer I"
"ugpC"	"Rv2832c"	3138099	3139181	"probable Sn-glycerol-3-phosphate transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-26	""
G185E-8149	"Rv3851"	4324683	4324967	"possible membrane protein"		""	""	""	""
G185E-8058	"Rv3767c"	4212996	4213940	"possible S-adenosylmethionine-dependent methyltransferase"		""	""	""	""
G185E-7768	"Rv3491"	3909890	3910468	"unknown protein"		""	""	""	""
G185E-5158	"Rv1000c"	1116531	1117148	"conserved hypothetical protein"		""	""	""	""
"argH"	"Rv1659"	1872639	1874051	"argininosuccinate lyase subunit"		"L-arginine biosynthesis I (via L-ornithine)" // "L-arginine biosynthesis II (acetyl cycle)"	""	ARGSUCCINLYA-RXN	"L-arginine biosynthesis II (acetyl cycle)" // "L-arginine biosynthesis I (via L-ornithine)"
G185E-8012	"Rv3723"	4168536	4169300	"probable conserved transmembrane protein"		""	""	""	""
G185E-7683	"Rv3406"	3825330	3826217	"alkyl sulfatase"		""	""	RXN-17674	""
"cfp32"	"Rv0577"	671166	671951	"Putative glyoxylase CFP32"		""	""	""	""
G185E-7638	"Rv3362c"	3773574	3774155	"probable ATP/GTP-binding protein"		""	""	""	""
"rfe"	"Rv1302"	1458295	1459509	G185E-5476-MONOMER		"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"	RXN-6380	"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
"rplK"	"Rv0640"	735022	735450	"50S ribosomal protein L11"		""	""	""	""
G185E-6635	"Rv2405"	2703269	2703838	"conserved protein"		""	""	""	""
G185E-4178	"Rv0064"	68620	71559	"probable conserved transmembrane protein"		""	""	""	""
G185E-4338	"Rv0218"	260924	262252	"probable conserved transmembrane protein"		""	""	""	""
G185E-7040	"Rv2791c"	3100202	3101581	"probable transposase"		""	""	RXN0-5131	""
"aglA"	"Rv2471"	2773564	2775204	"probable alpha-glucosidase"		""	""	RXN-15910 // RXN0-5183 // RXN-14281 // RXN-14283 // MALTODEXGLUCOSID-RXN // RXN-14282	""
"acg"	"Rv2032"	2279129	2280124	"Putative NAD(P)H nitroreductase acg"		""	""	R303-RXN // RXN-13853	""
"PE5"	"Rv0285"	349624	349932	"PE family protein PE5"		""	""	""	""
G185E-5114	"Rv0959"	1071255	1073273	"conserved hypothetical protein"		""	""	""	""
G185E-8158	"Rv3860"	4336777	4337949	"conserved protein"		""	""	""	""
G185E-6710	"Rv2475c"	2776975	2777391	"conserved protein"		""	""	""	""
"yrbE4B"	"Rv3500c"	3919220	3920062	"conserved integral membrane protein YrbE4B. Possible ABC transporter."		""	""	""	""
G185E-4736	"Rv0601c"	698524	698994	"two component sensor kinase [first part]"		""	""	""	""
G185E-6306	"Rv2100"	2358389	2360041	"conserved hypothetical protein"		""	""	""	""
G185E-5763	"Rv1575"	1780199	1780699	"probable PhiRv1 phage protein"		""	""	""	""
G185E-5858	"Rv1668c"	1894224	1895342	"probable first part of macrolide-transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-5	""
G185E-5388	"Rv1218c"	1361798	1362733	"probable tetronasin-transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-16	""
"espG3"	"Rv0289"	352149	353036	"ESX-3 secretion-associated protein"		""	""	""	""
"nrdF2"	"Rv3048c"	3408404	3409378	"ribonucleoside-diphosphate reductase (beta chain)"		"pyrimidine deoxyribonucleotides biosynthesis from CTP" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"	"pyrimidine deoxyribonucleotides biosynthesis from CTP" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"	RIBONUCLEOSIDE-DIP-REDUCTI-RXN // CDPREDUCT-RXN // "ADP reductase" // RXN0-747 // UDPREDUCT-RXN // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-722 // RXN0-748 // GDPREDUCT-RXN	"" // "superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III" // "pyrimidine deoxyribonucleotides biosynthesis from CTP" // "pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "adenosine deoxyribonucleotides <i>de novo</i> biosynthesis" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II" // "guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"
"hsaC"	"Rv3568c"	4009297	4010199	"3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase monomer"		"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	""	1.13.11.25-RXN	"androstenedione degradation"
"devR"	"Rv3133c"	3499262	3499915	"DNA-binding transcriptional activator DevR/DosR"		""	""	""	""
"atpC"	"Rv1311"	1467315	1467680	"probable ATP synthase epsilon chain"		""	""	ATPSYN-RXN	""
"pks13"	"Rv3800c"	4255945	4261146	"Pks13"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"cis-methoxy-meroacyl-AMP transferase" // "trans-methoxy-meroacyl-AMP transferase" // "cis-keto-meroacyl-AMP transferase" // "trans-keto-meroacyl-AMP transferase" // "&alpha;-meroacyl-AMP transferase"	"mycolate biosynthesis"
"vapB37"	"Rv2104c"	2364527	2364781	"possible antitoxin"		""	""	""	""
"fadB4"	"Rv3141"	3508095	3509066	"probable NADPH quinone oxidoreductase"		"NADH to cytochrome <i>bd</i> oxidase electron transfer II"	"NADH to cytochrome <i>bd</i> oxidase electron transfer II"	NQOR-RXN // RXN0-5330 // RXN0-5387 // "NAD(P)H dehydrogenase (plastoquinone)"	"" // "NADH to cytochrome <i>bd</i> oxidase electron transfer II"
G185E-7850	"Rv3572"	4013511	4014041	"unknown protein"		""	""	""	""
"pepR"	"Rv2782c"	3089045	3090361	"probable zinc protease"		""	""	""	""
G185E-5934	"Rv1739c"	1965955	1967637	"probable sulfate-transport transmembrane protein ABC transporter"		""	""	TRANS-RXN185E-13	""
"adh"	"Rv1530"	1731373	1732476	"probable alcohol dehydrogenase"		"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	RXN-161 // RXN-13198 // ALCOHOL-DEHYDROG-RXN // OCTANOL-DEHYDROGENASE-RXN // HEXANOL-RXN // "phytol dehydrogenase" // ALCOHOL-DEHYDROG-GENERIC-RXN	"" // "ethanol degradation I" // "mixed acid fermentation" // "pyruvate fermentation to ethanol II" // "ethanol degradation II"
G185E-5930	"Rv1735c"	1961291	1961788	"hypothetical membrane protein"		""	""	""	""
G185E-5560	"Rv1377c"	1550579	1551217	"putative transferase"		""	""	""	""
"PPE41"	"Rv2430c"	2727336	2727920	"PPE family protein PPE41"		""	""	""	""
G185E-7475	"Rv3205c"	3581627	3582505	"conserved protein"		""	""	""	""
G185E-6937	"Rv2689c"	3005845	3007062	"conserved alanine and valine and glycine rich protein"		""	""	""	""
"rpfA"	"Rv0867c"	964312	965535	"possible resuscitation-promoting factor"		""	""	""	""
"cobB"	"Rv2848c"	3156148	3157521	"probable cobyrinic acid A,C-diamide synthase"		"adenosylcobalamin biosynthesis II (aerobic)" // "cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	"adenosylcobalamin biosynthesis II (aerobic)" // "cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	R341-RXN // RXN-8769 // RXN-14256 // RXN-14257	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)" // ""
G185E-5105	"Rv0950c"	1060656	1061654	"conserved hypothetical protein"		""	""	""	""
"fabG4"	"Rv0242c"	290665	292029	"probable 3-oxoacyl-[acyl-carrier protein] reductase"		"fatty acid elongation -- saturated" // "mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	"fatty acid elongation -- saturated" // "mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	RXN-12994 // PYRIDOXAL-4-DEHYDROGENASE-RXN // RXN-19847 // RXN-19846 // RXN1G-26 // "cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] synthase" // "cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] synthase" // "cis-delta7-3-oxo-C26:1-[acyl-carrier protein] synthase" // "cis-delta9-3-oxo-C28:1-[acyl-carrier protein] synthase" // "cis-delta11-3-oxo-C30:1-[acyl-carrier protein] synthase" // "cis-delta13-3-oxo-C32:1-[acyl-carrier protein] synthase" // "cis-delta15-3-oxo-C34:1-[acyl-carrier protein] synthase" // "cis-delta17-3-oxo-C36:1-[acyl-carrier protein] synthase" // "cis-delta19-3-oxo-C38:1-[acyl-carrier protein] synthase" // "cis-delta21-3-oxo-C40:1-[acyl-carrier protein] synthase" // "cis,cis-delta7,19-3-oxo-C38:2-[acyl-carrier protein] synthase" // "cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] synthase" // "cis,cis-delta11,23-3-oxo-C42:2-[acyl-carrier protein] synthase" // "cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] synthase" // "cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] synthase" // "cis,cis-delta17,29-3-oxo-C48:2-[acyl-carrier protein] synthase" // "cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] synthase" // "cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] synthase" // "cis,cis-delta9,27-3-oxo-C46:2-[acyl-carrier protein] synthase" // "cis,cis-delta11,29-3-oxo-C48:2-[acyl-carrier protein] synthase" // "cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] synthase" // "cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] synthase" // "cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] synthase" // "cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] synthase" // "3-oxo-hexanoyl-[acyl-carrier protein] synthase" // "3-oxo-octanoyl-[acyl-carrier protein] synthase" // "3-oxo-decanoyl-[acyl-carrier protein] synthase" // "3-oxo-dodecanoyl-[acyl-carrier protein] synthase" // "3-oxo-palmitoyl-[acyl-carrier protein] synthase" // RXN-9535 // "cis,cis-delta21,39-3-oxo-C58:2-[acyl-carrier protein] synthase" // 2.3.1.41-RXN // "cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] reductase" // "cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] reductase" // "cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] reductase" // "cis,cis-delta9,27-3-oxo-C46:2-[acyl-carrier protein] reductase" // "cis,cis-delta11,29-3-oxo-C48:2-[acyl-carrier protein] reductase" // "cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] reductase" // "cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] reductase" // "cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] reductase" // RXN1G-409 // "cis,cis-delta21,39-3-oxo-C58:2-[acyl-carrier protein] reductase" // "cis-delta5-3-oxo-C24:1-[acyl-carrier protein] reductase" // "cis-delta7-3-oxo-C26:1-[acyl-carrier protein] reductase" // "cis-delta9-3-oxo-C28:1-[acyl-carrier protein] reductase" // "cis-delta11-3-oxo-C30:1-[acyl-carrier protein] reductase" // "cis-delta13-3-oxo-C32:1-[acyl-carrier protein] reductase" // "cis-delta15-3-oxo-C34:1-[acyl-carrier protein] reductase" // "cis-delta17-3-oxo-C36:1-[acyl-carrier protein] reductase" // "cis-delta19-3-oxo-C38:1-[acyl-carrier protein] reductase" // "cis-delta21-3-oxo-C40:1-[acyl-carrier protein] reductase" // "cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] reductase" // "acetoacetyl-[acyl-carrier protein] reductase" // "cis,cis-delta7,19-3-oxo-C38:2-[acyl-carrier protein] reductase" // "cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] reductase" // "cis,cis-delta11,23-3-oxo-C42:2-[acyl-carrier protein] reductase" // "cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] reductase" // "cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] reductase" // "cis,cis-delta17,29-3-oxo-C48:2-[acyl-carrier protein] reductase" // 3-OXOACYL-ACP-REDUCT-RXN // RXN-13443 // "3-oxo-behenoyl-[acyl-carrier protein] reductase" // RXN-16630 // RXN-10655 // RXN-16616 // "3-oxo-palmitoyl-[acyl-carrier protein] reductase" // RXN1G-349 // "3-oxobehenoyl-[acyl-carrier protein] reductase" // "3-oxo-petroslinoyl-[acyl-carrier protein] reductase" // RXN-16626 // RXN0-2142 // "3-oxo-meristoyl-[acyl-carrier protein] reductase" // "3-oxo-octanoyl-[acyl-carrier protein] reductase" // RXN-16622 // RXN-13008 // "3-oxo-decanoyl-[acyl-carrier protein] reductase" // RXN-10060 // "3-oxo-lignoceroyl-[acyl-carrier protein] reductase" // "3-oxo-dodecanoyl-[acyl-carrier protein] reductase" // RXN-11480 // "3-hydroxyhexanoyl-[acyl-carrier protein] reductase" // RXN-10659 // "3-oxo-stearoyl-[acyl-carrier protein] reductase" // "3-oxo-glutaryl-[acp] methyl ester reductase" // "3-oxo-<i>cis</i>-vaccenoyl-[acyl-carrier protein] reductase"	"" // "mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid elongation -- saturated" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"
"mce2D"	"Rv0592"	690501	692027	"mce-family protein Mce2D"		""	""	""	""
"rpmG1"	"Rv2057c"	2314661	2314825	"50S ribosomal protein L33"		""	""	""	""
"nadD"	"Rv2421c"	2718173	2718808	"probable nicotinate-nucleotide adenylyltransferase"		"NAD <i>de novo</i> biosynthesis I (from aspartate)" // "NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde" // "NAD salvage pathway I (PNC VI cycle)"	"NAD <i>de novo</i> biosynthesis I (from aspartate)" // "NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde" // "NAD salvage pathway I (PNC VI cycle)"	NICONUCADENYLYLTRAN-RXN	"NAD salvage pathway I (PNC VI cycle)" // "NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde" // "NAD <i>de novo</i> biosynthesis I (from aspartate)"
"dapB"	"Rv2773c"	3081604	3082341	"dihydropicolinate reductase subunit"		"L-lysine biosynthesis I"	""	RXN-14014	"L-lysine biosynthesis I"
"eccE2"	"Rv3885c"	4366908	4368521	"ESX conserved component EccE2. ESX-2 type VII secretion system protein. Possible membrane protein."		""	""	""	""
"far"	"Rv0855"	951632	952711	"probable fatty-acid-CoA racemase"		""	""	5.1.99.4-RXN	""
"lpqT"	"Rv1016c"	1134785	1135465	"probable conserved lipoprotein"		""	""	""	""
"gabD1"	"Rv0234c"	279605	281140	"NADP-dependent succinate-semialdehyde dehydrogenase"		"4-aminobutanoate degradation II"	"4-aminobutanoate degradation II"	SUCCSEMIALDDEHYDROG-RXN	"4-aminobutanoate degradation II"
G185E-4632	"Rv0500B"	591475	591576	"conserved hypothetical protein"		""	""	""	""
"kshA"	"Rv3526"	3962439	3963599	"3-ketosteroid 9&alpha;-hydroxylase oxygenase component monomer"		"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	""	RXN-12740 // RXN-12739 // RXN-12738 // RXN-12691	"" // "androstenedione degradation"
"PE12"	"Rv1172c"	1301755	1302681	"PE family protein PE12"		""	""	""	""
G185E-6555	"Rv2331"	2604297	2604683	"hypothetical protein"		""	""	""	""
G185E-4260	"Rv0143c"	168704	170182	"probable conserved transmembrane protein"		""	""	""	""
"pks12"	"Rv2048c"	2294531	2306986	"mycoketide-CoA synthase"		"&beta;-D-mannosyl phosphomycoketide biosynthesis"	"&beta;-D-mannosyl phosphomycoketide biosynthesis"	RXN-17206 // RXN-17308	"" // "&beta;-D-mannosyl phosphomycoketide biosynthesis"
"vapC6"	"Rv0656c"	752984	753367	"possible toxin"		""	""	""	""
"ilvN"	"Rv3002c"	3360624	3361130	"probable acetolactate synthase (small subunit)"		"L-valine biosynthesis" // "superpathway of branched chain amino acid biosynthesis" // "superpathway of L-isoleucine biosynthesis I" // "L-isoleucine biosynthesis I (from threonine)"	""	ACETOLACTSYN-RXN // "2-aceto-2-hydroxy-butyrate synthase"	"L-valine biosynthesis" // "L-isoleucine biosynthesis I (from threonine)"
"PE_PGRS42"	"Rv2487c"	2795301	2797385	"PE-PGRS family protein PE_PGRS42"		""	""	""	""
"vapC2"	"Rv0301"	364044	364469	"possible toxin"		""	""	""	""
"secBL"	"Rv1957"	2202584	2203129	"SecB-like chaperone Rv1957"		""	""	""	""
"TB7.3"	"Rv3221c"	3597551	3597766	"biotinylated protein"		""	""	""	""
G185E-5095	"Rv0940c"	1050593	1051459	"possible oxidoreductase"		""	""	""	""
G185E-5576	"Rv1393c"	1568109	1569587	"probable monoxygenase"		""	""	""	""
G185E-5946	"Rv1751"	1979621	1981003	"probable oxidoreductase"		""	""	""	""
"rfbE"	"Rv3781"	4227529	4228350	"probable O-antigen/lipopolysaccharide transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-29 // TRANS-RXN185E-28	""
G185E-4718	"Rv0584"	679229	681862	"possible conserved exported protein"		""	""	""	""
G185E-6323	"Rv2117"	2377148	2377441	"conserved hypothetical protein"		""	""	""	""
G185E-5884	"Rv1693"	1917756	1917932	"conserved hypothetical protein"		""	""	""	""
"tsaE"	"Rv3422c"	3839691	3840197	"tRNA threonylcarbamoyladenosine biosynthesis protein TsaE"		"N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis"	"N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis"	RXN-14570	"N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis"
"cysO"	"Rv1335"	1503103	1503384	"cysO sulfur carrier protein"		"L-cysteine biosynthesis V (mycobacteria)"	""	""	""
"lpqE"	"Rv3584"	4025830	4026378	"possible conserved lipoprotein"		""	""	""	""
G185E-6888	"Rv2644c"	2968533	2968850	"hypothetical protein"		""	""	""	""
"hemB"	"Rv0512"	604602	605591	"probable delta-aminolevulinic acid dehydratase"		"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	"adenosylcobalamin biosynthesis II (aerobic)" // "tetrapyrrole biosynthesis I (from glutamate)"	PORPHOBILSYNTH-RXN	"tetrapyrrole biosynthesis I (from glutamate)"
"pyrC"	"Rv1381"	1554188	1555480	"probable dihydroorotase"		"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis" // "UMP biosynthesis I"	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis" // "superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis" // "UMP biosynthesis I"	DIHYDROOROT-RXN	"UMP biosynthesis I"
"espI"	"Rv3876"	4353010	4355010	"ESX-1 secretion-associated protein EspI. Conserved proline and alanine rich protein."		""	""	""	""
G185E-4959	"Rv0810c"	904905	905087	"conserved hypothetical protein"		""	""	""	""
G185E-5405	"Rv1234"	1376976	1377503	"probable transmembrane protein"		""	""	""	""
"rpsT"	"Rv2412"	2710075	2710335	"30S ribosomal protein S20"		""	""	""	""
G185E-5779	"Rv1591"	1791570	1792235	"probable transmembrane protein"		""	""	""	""
G185E-7431	"Rv3166c"	3534392	3535351	"conserved hypothetical protein"		""	""	""	""
G185E-7794	"Rv3517"	3953431	3954270	"conserved hypothetical protein"		""	""	""	""
G185E-4345	"Rv0225"	268663	269817	"possible conserved protein"		""	""	""	""
G185E-7056	"Rv2806"	3113268	3113459	"possible membrane protein"		""	""	""	""
G185E-4586	"Rv0459"	551198	551689	"conserved hypothetical protein"		""	""	""	""
G185E-5874	"Rv1684"	1910586	1910810	"conserved hypothetical protein"		""	""	""	""
"accD2"	"Rv0974c"	1085756	1087345	"probable acetyl-/propionyl-CoA carboxylase (beta subunit)"		"propanoyl CoA degradation I" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	PROPIONYL-COA-CARBOXY-RXN // RXN1G-4355 // ACETYL-COA-CARBOXYLTRANSFER-RXN	"propanoyl CoA degradation I" // "mycolate biosynthesis" // ""
G185E-7325	"Rv3064c"	3429825	3430250	"probable conserved integral membrane protein"		""	""	""	""
